time/total_timesteps,cv/rollout_cv_value,cv/rollout_cv_count,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
200,125.60324877128005,180,4,-15.66916725,0,385,50.0,,,,
400,242.06827243417501,353,8,-13.719305250000001,1,382,50.0,,,,
600,361.759190492332,530,12,-14.624658416666668,1,360,50.0,,,,
800,487.8368678689003,703,16,-14.950320687500001,2,375,50.0,,,,
1000,611.5346557572484,874,20,-14.153339299999999,2,385,50.0,,,,
1200,748.8110370598733,1059,24,-13.749787250000002,3,387,50.0,,,,
1400,873.3786463476717,1233,28,-14.174721571428574,3,392,50.0,,,,
1600,1004.2822411470115,1414,32,-14.25483715625,4,397,50.0,,,,
1800,1138.3382288850844,1586,36,-14.383265555555555,4,404,50.0,,,,
2000,1259.0527164638042,1767,40,-14.635503075000003,4,409,50.0,,,,
2200,1388.4048441536725,1947,44,-14.560576954545457,5,406,50.0,,,,
2400,1501.797518428415,2111,48,-14.798230208333331,5,410,50.0,,,,
2600,1631.12571830675,2296,52,-14.440878634615384,6,410,50.0,,,,
2800,1754.6239092983305,2475,56,-14.454516232142854,6,411,50.0,,,,
3000,1879.9125935658813,2643,60,-14.410303483333333,7,414,50.0,,,,
3200,2006.244464930147,2825,64,-14.48666175,7,416,50.0,,,,
3400,2137.701572228223,3000,68,-14.332778661764706,8,418,50.0,,,,
3600,2262.532089419663,3172,72,-14.362466069444443,8,419,50.0,,,,
3800,2384.38462196663,3350,76,-14.215431657894731,9,419,50.0,,,,
4000,2508.7002854533494,3528,80,-14.072881587500001,9,422,50.0,,,,
4200,2629.5463889203966,3704,84,-14.033085202380951,9,422,50.0,,,,
4400,2764.34442191571,3886,88,-13.947382977272726,10,423,50.0,,,,
4600,2877.929721672088,4062,92,-13.824123695652172,10,423,50.0,,,,
4800,3004.5348184518516,4243,96,-13.677120625,11,424,50.0,,,,
5000,3130.6328468695283,4417,100,-13.549411399999999,11,426,50.0,,,,
5200,3259.8805656954646,4588,104,-13.473442060000004,12,427,50.0,,,,
5400,3387.773273937404,4768,108,-13.532528230000002,12,428,50.0,,,,
5600,3513.9795949421823,4947,112,-13.314323209999998,13,429,50.0,,,,
5800,3639.33830139786,5122,116,-13.280191669999999,13,429,50.0,,,,
6000,3769.5156226083636,5305,120,-13.412422359999999,13,429,50.0,,,,
6200,3888.6398923434317,5479,124,-13.425217359999998,14,429,50.0,,,,
6400,4013.268197994679,5658,128,-13.384204019999997,14,427,50.0,,,,
6600,4131.227083146572,5832,132,-13.357876119999998,15,425,50.0,,,,
6800,4254.981362789869,6009,136,-13.312528749999997,15,425,50.0,,,,
7000,4374.440460000187,6180,140,-13.221442279999996,16,425,50.0,,,,
7200,4498.311656009406,6354,144,-13.19253968,16,425,50.0,,,,
7400,4626.5058681592345,6532,148,-13.02254378,17,425,50.0,,,,
7600,4755.641639698297,6708,152,-13.014463249999999,17,425,50.0,,,,
