time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,cv/rollout_cv_value,time/fps,cv/rollout_cv_count,time/total_timesteps,time/time_elapsed,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
4,-13.526615750000001,50.0,131.27890073135495,433,179,200,0,,,,
8,-12.944475875,50.0,255.40960371866822,466,358,400,0,,,,
12,-14.326135500000001,50.0,363.49957198277116,462,525,600,1,,,,
16,-14.6256846875,50.0,485.06916227936745,469,703,800,1,,,,
20,-15.221522900000002,50.0,629.4503108747303,477,885,1000,2,,,,
24,-15.119045875,50.0,749.7578819803894,475,1062,1200,2,,,,
28,-15.170550500000001,50.0,891.6391142942011,464,1247,1400,3,,,,
32,-15.017610843749999,50.0,1015.8867986649275,457,1426,1600,3,,,,
36,-14.981344916666664,50.0,1137.1657168380916,453,1604,1800,3,,,,
40,-14.952453474999999,50.0,1262.560722861439,447,1783,2000,4,,,,
44,-14.691529704545452,50.0,1388.8472648598254,442,1962,2200,4,,,,
48,-14.479472416666667,50.0,1513.938853982836,445,2132,2400,5,,,,
52,-14.46980576923077,50.0,1635.5581890158355,442,2308,2600,5,,,,
56,-14.234193732142858,50.0,1758.5762967765331,442,2484,2800,6,,,,
60,-14.178611133333334,50.0,1883.6021109260619,442,2653,3000,6,,,,
64,-14.1534345,50.0,2005.5906283520162,441,2829,3200,7,,,,
68,-14.180585485294117,50.0,2130.9276288710535,438,3014,3400,7,,,,
72,-14.236130986111114,50.0,2255.3387693203986,436,3190,3600,8,,,,
76,-14.119348644736844,50.0,2382.4651442319155,437,3365,3800,8,,,,
80,-13.971442837500001,50.0,2509.4690928570926,434,3542,4000,9,,,,
84,-13.896067464285718,50.0,2629.487141661346,438,3718,4200,9,,,,
88,-13.855199045454544,50.0,2745.186335463077,442,3886,4400,9,,,,
92,-13.93304933695652,50.0,2865.2914743088186,437,4062,4600,10,,,,
96,-13.904936916666665,50.0,2986.9717161394656,437,4232,4800,10,,,,
100,-14.134014789999998,50.0,3111.668421883136,436,4404,5000,11,,,,
104,-14.078058600000002,50.0,3222.4898885153234,435,4578,5200,11,,,,
108,-14.169881179999999,50.0,3363.6214418932796,435,4756,5400,12,,,,
112,-14.103417869999998,50.0,3499.105810649693,435,4935,5600,12,,,,
116,-14.00134178,50.0,3631.9557575173676,437,5114,5800,13,,,,
120,-13.90928012,50.0,3751.516544379294,437,5290,6000,13,,,,
124,-13.73888715,50.0,3876.5919410288334,439,5471,6200,14,,,,
128,-13.69362116,50.0,4001.6833399273455,442,5641,6400,14,,,,
132,-13.804544270000001,50.0,4136.117758948356,444,5823,6600,14,,,,
136,-13.78208528,50.0,4270.012700494379,446,6002,6800,15,,,,
140,-13.80898565,50.0,4403.1206366717815,444,6185,7000,15,,,,
144,-13.88027118,50.0,4525.704361092299,446,6364,7200,16,,,,
148,-13.952249420000001,50.0,4642.231241699308,447,6545,7400,16,,,,
152,-14.010920739999996,50.0,4767.405735708773,447,6710,7600,16,,,,
156,-14.127833070000001,50.0,4893.094822324812,446,6883,7800,17,,,,
160,-14.239885460000004,50.0,5014.6985228694975,448,7059,8000,17,,,,
164,-14.437180249999999,50.0,5137.23163510114,449,7236,8200,18,,,,
168,-14.316531719999999,50.0,5256.103187941015,448,7405,8400,18,,,,
172,-14.188015909999999,50.0,5382.868500702083,448,7572,8600,19,,,,
176,-14.282923579999999,50.0,5512.733281843364,447,7747,8800,19,,,,
