time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,cv/rollout_cv_value,time/total_timesteps,cv/rollout_cv_count,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
0,4,50.0,412,132.62252732738853,200,178,-11.621848,,,,
0,8,50.0,442,253.72352379933,400,349,-12.14677975,,,,
1,12,50.0,429,378.8457232452929,600,531,-13.267714833333335,,,,
1,16,50.0,438,498.9067727662623,800,704,-12.9098901875,,,,
2,20,50.0,435,626.7272507436574,1000,884,-12.802090850000003,,,,
2,24,50.0,450,752.1899628639221,1200,1058,-12.534679833333334,,,,
3,28,50.0,457,887.2110150121152,1400,1234,-12.232359642857142,,,,
3,32,50.0,459,1020.686831291765,1600,1418,-12.20865103125,,,,
3,36,50.0,464,1141.15106703341,1800,1592,-12.132300277777778,,,,
4,40,50.0,469,1261.9700586870313,2000,1766,-12.362289975,,,,
4,44,50.0,472,1379.9876968227327,2200,1933,-12.387790431818182,,,,
5,48,50.0,475,1500.627920191735,2400,2113,-12.339147479166668,,,,
5,52,50.0,476,1628.6679700911045,2600,2291,-12.573930961538462,,,,
5,56,50.0,478,1743.8424556851387,2800,2460,-12.83016398214286,,,,
6,60,50.0,478,1871.128317501396,3000,2641,-12.883234566666669,,,,
6,64,50.0,480,1995.766106441617,3200,2813,-12.794155625,,,,
7,68,50.0,482,2122.367516104132,3400,2986,-12.919717264705882,,,,
7,72,50.0,483,2246.7113140523434,3600,3160,-13.083271694444445,,,,
7,76,50.0,484,2377.338625974953,3800,3334,-13.161915263157896,,,,
8,80,50.0,486,2496.427331313491,4000,3507,-13.267459037499998,,,,
8,84,50.0,487,2625.756009090692,4200,3677,-13.341199976190472,,,,
9,88,50.0,487,2766.228538505733,4400,3861,-13.254501125,,,,
9,92,50.0,487,2884.986594609916,4600,4026,-13.323401630434784,,,,
9,96,50.0,488,3013.7666948139668,4800,4203,-13.433870010416667,,,,
10,100,50.0,490,3149.0308527722955,5000,4381,-13.365521300000001,,,,
10,104,50.0,490,3276.60394712165,5200,4559,-13.523005690000002,,,,
11,108,50.0,485,3407.894966248423,5400,4731,-13.590962079999997,,,,
11,112,50.0,481,3528.865002837032,5600,4900,-13.494477849999999,,,,
12,116,50.0,476,3658.569275673479,5800,5082,-13.67952319,,,,
12,120,50.0,473,3786.2074399366975,6000,5263,-13.85198122,,,,
13,124,50.0,472,3912.57118935138,6200,5440,-14.140475470000002,,,,
13,128,50.0,473,4038.214731812477,6400,5618,-14.18952611,,,,
13,132,50.0,474,4166.068829994649,6600,5797,-14.34596001,,,,
14,136,50.0,475,4293.622315816581,6800,5977,-14.381447500000002,,,,
14,140,50.0,474,4408.21681407094,7000,6152,-14.2895371,,,,
15,144,50.0,474,4535.608088545501,7200,6328,-14.334143189999997,,,,
15,148,50.0,475,4662.752707142383,7400,6500,-14.272304429999998,,,,
16,152,50.0,474,4795.976824719459,7600,6686,-14.155297549999998,,,,
16,156,50.0,475,4922.74639089033,7800,6859,-13.933961110000002,,,,
16,160,50.0,476,5037.106032092124,8000,7031,-13.84626246,,,,
17,164,50.0,477,5171.173395667225,8200,7215,-13.905947499999995,,,,
17,168,50.0,477,5302.27395870164,8400,7395,-13.92920945,,,,
17,172,50.0,478,5438.98451467976,8600,7575,-13.84978442,,,,
18,176,50.0,479,5567.842750240117,8800,7749,-13.81817261,,,,
18,180,50.0,480,5698.901442080736,9000,7930,-13.93208623,,,,
19,184,50.0,481,5828.23376269266,9200,8110,-13.83442898,,,,
19,188,50.0,481,5963.857962056994,9400,8291,-13.78316998,,,,
20,192,50.0,479,6087.462643455714,9600,8473,-13.768511549999998,,,,
20,196,50.0,480,6211.792354319245,9800,8645,-13.654428220000002,,,,
20,200,50.0,480,6345.503195382655,10000,8829,-13.779838009999997,,,,
21,204,50.0,464,6611.641178123653,10200,8979,-13.592628589999999,150,0.3561066609621048,0.001,0.003827469293028116
