cv/rollout_cv_value,cv/rollout_cv_count,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
131.06193339079618,182,50.0,-13.31870175,200,373,4,0,,,,
263.756429284811,366,50.0,-12.89410625,400,365,8,1,,,,
389.64529333636165,539,50.0,-14.684309583333333,600,381,12,1,,,,
512.0291475243866,717,50.0,-13.9736723125,800,409,16,1,,,,
626.286228787154,890,50.0,-13.229370499999998,1000,429,20,2,,,,
755.123286165297,1070,50.0,-13.463648916666669,1200,435,24,2,,,,
882.139502376318,1248,50.0,-13.989738857142857,1400,447,28,3,,,,
1013.5758799016476,1430,50.0,-13.91764578125,1600,454,32,3,,,,
1144.2444519847631,1616,50.0,-13.817689750000001,1800,449,36,4,,,,
1282.0778202787042,1789,50.0,-13.310664650000001,2000,444,40,4,,,,
1401.3486450389028,1966,50.0,-13.212073909090911,2200,451,44,4,,,,
1533.361157786101,2147,50.0,-13.4642014375,2400,449,48,5,,,,
1657.0173812136054,2320,50.0,-13.248807115384615,2600,452,52,5,,,,
1776.0806142687798,2492,50.0,-13.419003017857142,2800,449,56,6,,,,
1898.221041508019,2666,50.0,-13.3002591,3000,447,60,6,,,,
2024.9665121398866,2843,50.0,-13.506471734375,3200,449,64,7,,,,
2148.3405480459332,3021,50.0,-13.490325647058823,3400,446,68,7,,,,
2284.352150399238,3202,50.0,-13.463866958333334,3600,445,72,8,,,,
2402.5198445133865,3377,50.0,-13.328473868421053,3800,445,76,8,,,,
2527.4454977437854,3553,50.0,-13.2442024,4000,444,80,8,,,,
2654.2606484629214,3731,50.0,-13.337133654761901,4200,447,84,9,,,,
2779.7809481732547,3904,50.0,-13.29172175,4400,447,88,9,,,,
2902.8803346566856,4082,50.0,-13.172396641304351,4600,446,92,10,,,,
3031.3688972629607,4260,50.0,-13.276329666666667,4800,446,96,10,,,,
3162.051055725664,4439,50.0,-13.40481841,5000,448,100,11,,,,
3282.957431767136,4615,50.0,-13.358580510000001,5200,449,104,11,,,,
3412.628848042339,4793,50.0,-13.299446879999998,5400,442,108,12,,,,
3546.620034825057,4977,50.0,-13.103854080000001,5600,442,112,12,,,,
3663.5370421372354,5151,50.0,-13.076044919999998,5800,442,116,13,,,,
3790.4694025963545,5330,50.0,-13.192164499999999,6000,436,120,13,,,,
3918.89781043306,5511,50.0,-13.053332799999998,6200,436,124,14,,,,
4047.4656820334494,5692,50.0,-12.87144693,6400,438,128,14,,,,
4160.416447427124,5863,50.0,-12.85194468,6600,439,132,15,,,,
4281.371827986091,6043,50.0,-12.96122192,6800,435,136,15,,,,
4407.879866812378,6213,50.0,-13.23044425,7000,437,140,15,,,,
4529.572362750769,6389,50.0,-13.27328733,7200,437,144,16,,,,
4653.953094366938,6563,50.0,-13.214019919999998,7400,434,148,17,,,,
4779.755073092878,6740,50.0,-13.395720929999998,7600,434,152,17,,,,
4903.2704247199,6910,50.0,-13.27694333,7800,432,156,18,,,,
5024.345114443451,7080,50.0,-13.368683189999999,8000,432,160,18,,,,
5146.47694652155,7252,50.0,-13.339523950000002,8200,434,164,18,,,,
5269.576753187925,7427,50.0,-13.49567442,8400,434,168,19,,,,
5387.396018151194,7600,50.0,-13.509256609999998,8600,433,172,19,,,,
5513.339260365814,7769,50.0,-13.709481879999998,8800,432,176,20,,,,
5633.014707643539,7932,50.0,-13.847601089999998,9000,434,180,20,,,,
5753.872004345059,8112,50.0,-13.932016379999999,9200,435,184,21,,,,
5889.721989605576,8290,50.0,-14.107810150000002,9400,435,188,21,,,,
6011.142091590911,8464,50.0,-14.367998810000001,9600,436,192,21,,,,
6133.410640254617,8638,50.0,-14.36837734,9800,437,196,22,,,,
6258.833848915994,8818,50.0,-14.315587360000002,10000,438,200,22,,,,
6521.4242499955,8968,50.0,-14.398105069999996,10200,428,204,23,0.003354940451681614,0.001,150,0.48954006969928743
6875.827277708799,9168,50.0,-14.357782989999999,10400,416,208,24,0.001976155394222587,0.001,350,0.6934378314018249
7234.703695107251,9368,50.0,-14.305334220000002,10600,405,212,26,0.0018720107863191516,0.001,550,0.7649949586391449
7505.428544331342,9568,50.0,-14.35010477,10800,395,216,27,0.0014376298419665546,0.001,750,0.897413079738617
7607.538262709975,9668,50.0,-14.164165859999999,11000,388,220,28,0.0016689238185063004,0.001,950,1.0950986075401306
7782.210983160883,9853,50.0,-14.169128700000002,11200,380,224,29,0.0015040394372772426,0.001,1150,1.2465458750724792
7938.950429551303,10048,50.0,-14.145939550000003,11400,371,228,30,0.0015159683104138822,0.001,1350,1.3652179718017579
8054.655945047736,10209,50.0,-14.16167712,11600,364,232,31,0.0015896658226847648,0.001,1550,1.443547372817993
8118.95548691228,10348,50.0,-14.009120359999999,11800,357,236,33,0.00211840764968656,0.001,1750,1.6039734888076782
8123.863150656223,10359,50.0,-13.756325439999998,12000,352,240,34,0.0015844466642010958,0.001,1950,1.774716112613678
8131.348112668842,10389,50.0,-13.599582689999998,12200,348,244,34,0.0015733400313183666,0.001,2150,1.9251230311393739
8138.8388829529285,10413,50.0,-13.442305319999997,12400,346,248,35,0.0026561974966898562,0.001,2350,2.095058298110962
8145.652103479952,10442,50.0,-13.26102626,12600,342,252,36,0.0014508278470020742,0.001,2550,2.2540868806838987
8147.894172359258,10447,50.0,-13.113160529999998,12800,339,256,37,0.0014268705574795603,0.001,2750,2.3956131410598753
8150.689015198499,10455,50.0,-12.897629219999999,13000,337,260,38,0.002245640440378338,0.001,2950,2.5353500032424927
8155.989800971001,10476,50.0,-12.603320019999998,13200,334,264,39,0.0018456822482403367,0.001,3150,2.6559897661209106
8160.466197267175,10483,50.0,-12.248134749999998,13400,331,268,40,0.0031355659011751413,0.001,3350,2.7652185773849487
8162.25223325938,10486,50.0,-11.95596311,13600,329,272,41,0.00288203788921237,0.001,3550,2.8693299865722657
8167.5320547781885,10502,50.0,-11.63007679,13800,327,276,42,0.0025207939161919057,0.001,3750,2.969335746765137
8170.099817343056,10509,50.0,-11.23807405,14000,326,280,42,0.0024438149644993245,0.001,3950,3.0540666484832766
8171.266884446144,10511,50.0,-10.787355869999999,14200,325,284,43,0.00309887224342674,0.001,4150,3.113522367477417
8174.300551012158,10518,50.0,-10.34773442,14400,323,288,44,0.0038768606819212436,0.001,4350,3.1685988092422486
8177.345304373652,10528,50.0,-9.91808943,14600,322,292,45,0.002905302548315376,0.001,4550,3.2381237077713014
8180.343723088503,10536,50.0,-9.523316000000001,14800,321,296,46,0.0032666426501236855,0.001,4750,3.314545907974243
8188.979339912534,10556,50.0,-9.21096243,15000,319,300,46,0.003175537483766675,0.001,4950,3.3213788509368896
8193.317295249552,10570,50.0,-8.931436869999999,15200,318,304,47,0.004190914044156671,0.001,5150,3.4058010959625244
8199.642137076706,10587,50.0,-8.81070573,15400,317,308,48,0.0035914880223572253,0.001,5350,3.4514492034912108
8200.897947601974,10589,50.0,-8.564164090000002,15600,316,312,49,0.004188116467557848,0.001,5550,3.4496279096603395
8202.701645851135,10594,50.0,-8.27888049,15800,315,316,50,0.0040295399073511365,0.001,5750,3.4761439323425294
8211.680925279856,10614,50.0,-8.207050599999999,16000,313,320,51,0.003627975925337523,0.001,5950,3.4946768283843994
8226.550027508289,10641,50.0,-8.113692930000001,16200,312,324,51,0.00501543709076941,0.001,6150,3.4812271404266357
8231.28176336363,10654,50.0,-7.87471715,16400,310,328,52,0.0038329813093878327,0.001,6350,3.5177750968933106
8238.679769854993,10676,50.0,-7.654051720000001,16600,308,332,53,0.006426978264935315,0.001,6550,3.5319026470184327
