time/episodes,cv/rollout_cv_value,cv/rollout_cv_count,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
4,112.93896740674973,173,347,0,200,-12.62925175,50.0,,,,
8,239.83964792266488,359,379,1,400,-10.627101249999999,50.0,,,,
12,355.8278917595744,531,365,1,600,-11.302071583333332,50.0,,,,
16,483.10628617182374,706,379,2,800,-12.16304375,50.0,,,,
20,615.4502097703516,886,379,2,1000,-13.0279808,50.0,,,,
24,743.5591809935868,1065,388,3,1200,-13.044561208333334,50.0,,,,
28,883.7281606830657,1242,389,3,1400,-13.469789107142859,50.0,,,,
32,1004.3576661609113,1413,394,4,1600,-13.628761687499999,50.0,,,,
36,1125.766496811062,1591,393,4,1800,-13.561985861111111,50.0,,,,
40,1258.7788544371724,1765,393,5,2000,-13.92649515,50.0,,,,
44,1396.2324214614928,1947,393,5,2200,-14.030541022727276,50.0,,,,
48,1524.3656482286751,2124,396,6,2400,-13.975547395833331,50.0,,,,
52,1652.4361811354756,2310,397,6,2600,-13.74134692307692,50.0,,,,
56,1777.6726383455098,2494,393,7,2800,-13.567311946428573,50.0,,,,
60,1898.1151128821075,2666,399,7,3000,-13.50143445,50.0,,,,
64,2020.4980787336826,2835,406,7,3200,-13.671351265625,50.0,,,,
68,2140.8811816349626,3007,407,8,3400,-13.829968852941178,50.0,,,,
72,2277.026617396623,3185,410,8,3600,-13.789074277777779,50.0,,,,
76,2389.257981721312,3357,415,9,3800,-13.88884157894737,50.0,,,,
80,2515.294624309987,3530,419,9,4000,-13.8089813625,50.0,,,,
84,2640.2111230641603,3704,423,9,4200,-13.72911202380952,50.0,,,,
88,2754.206867568195,3883,426,10,4400,-13.754587590909091,50.0,,,,
92,2870.062543258071,4048,429,10,4600,-13.707683184782612,50.0,,,,
96,3001.20037567243,4227,432,11,4800,-13.705408541666666,50.0,,,,
100,3129.5029138214886,4404,435,11,5000,-13.786910079999998,50.0,,,,
104,3258.594493974,4585,437,11,5200,-13.84692755,50.0,,,,
108,3376.2169438414276,4752,440,12,5400,-14.05115626,50.0,,,,
112,3498.347987934947,4923,443,12,5600,-14.128997789999998,50.0,,,,
116,3637.1484374552965,5110,444,13,5800,-14.157770320000003,50.0,,,,
120,3766.820902466774,5284,447,13,6000,-14.19275862,50.0,,,,
124,3888.942488655448,5455,449,13,6200,-14.211160429999998,50.0,,,,
128,4018.8224374502897,5641,450,14,6400,-14.244432210000003,50.0,,,,
132,4140.065751705319,5819,452,14,6600,-14.343839529999999,50.0,,,,
136,4280.6139352321625,6005,453,14,6800,-14.24442689,50.0,,,,
140,4408.19027300179,6180,455,15,7000,-14.061871550000001,50.0,,,,
144,4542.0893391780555,6361,456,15,7200,-14.06445974,50.0,,,,
148,4677.641695465893,6547,457,16,7400,-14.15102971,50.0,,,,
152,4794.392167557031,6727,459,16,7600,-14.40069143,50.0,,,,
156,4920.898187898099,6907,460,16,7800,-14.479390600000004,50.0,,,,
160,5053.5123562552035,7096,460,17,8000,-14.603259380000003,50.0,,,,
164,5169.526664894074,7267,462,17,8200,-14.510908370000003,50.0,,,,
168,5304.0562076717615,7449,462,18,8400,-14.316748289999996,50.0,,,,
172,5422.4345762990415,7625,461,18,8600,-14.44545446,50.0,,,,
176,5546.924862731248,7800,462,19,8800,-14.30773277,50.0,,,,
180,5670.761648479849,7977,459,19,9000,-14.402282050000002,50.0,,,,
184,5807.791579354554,8157,458,20,9200,-14.525432949999999,50.0,,,,
188,5946.752380076796,8340,456,20,9400,-14.55849561,50.0,,,,
192,6067.550221636891,8518,454,21,9600,-14.544834470000003,50.0,,,,
196,6191.269056551158,8697,453,21,9800,-14.461280209999998,50.0,,,,
200,6312.598942037672,8876,454,22,10000,-14.42429797,50.0,,,,
204,6549.7489316388965,9033,440,23,10200,-14.329142029999998,50.0,0.00417727586813271,150,0.45960462391376494,0.001
208,6831.457655094564,9233,425,24,10400,-14.166086560000002,50.0,0.002424035626463592,350,0.5440918213129043,0.001
212,7101.254850260913,9433,409,25,10600,-14.057571349999998,50.0,0.0021813253895379605,550,0.4564757430553436,0.001
216,7460.800130598247,9633,396,27,10800,-13.836779370000002,50.0,0.003383121807128191,750,0.14518812477588652,0.001
220,7818.540412537754,9833,387,28,11000,-13.56285228,50.0,0.0024495038692839443,950,0.15480044841766358,0.001
224,8182.101722948253,10033,377,29,11200,-13.402791409999999,50.0,0.0021014317707158626,1150,0.35190369009971617,0.001
228,8543.781214468181,10233,369,30,11400,-13.17548413,50.0,0.0017689313914161175,1350,0.654265900850296,0.001
232,8904.594487421215,10433,358,32,11600,-12.940102540000003,50.0,0.0017186391213908792,1550,1.0302257788181306,0.001
236,9149.849821038544,10633,349,33,11800,-12.924570979999999,50.0,0.0037255446123890578,1750,1.1243854260444641,0.001
240,9355.825857393444,10833,339,35,12000,-12.78984848,50.0,0.002414924476761371,1950,1.1425336217880249,0.001
244,9503.093944340944,11020,331,36,12200,-12.737558900000002,50.0,0.0021930843405425548,2150,1.1310447216033936,0.001
248,9583.739769935608,11167,325,38,12400,-12.570149919999999,50.0,0.0016596036986447872,2350,1.2558555817604065,0.001
252,9610.5934638381,11231,321,39,12600,-12.328123739999999,50.0,0.002738243732601404,2550,1.3790214490890502,0.001
256,9639.124794188887,11304,318,40,12800,-12.244527400000003,50.0,0.001718232858693227,2750,1.5638492369651795,0.001
260,9646.789882905781,11332,315,41,13000,-12.011041719999998,50.0,0.001427620155736804,2950,1.7106071162223815,0.001
264,9652.42260420695,11351,313,42,13200,-11.82649987,50.0,0.0017060775018762798,3150,1.8739308047294616,0.001
268,9657.189915664494,11369,311,43,13400,-11.80077602,50.0,0.0021262226859107614,3350,1.9899668931961059,0.001
272,9658.80287239328,11374,309,43,13600,-11.489558020000004,50.0,0.002417699676007032,3550,2.150780222415924,0.001
276,9660.843258295208,11377,307,44,13800,-11.27994394,50.0,0.003985702944919467,3750,2.2553382110595703,0.001
280,9662.751374553889,11381,306,45,14000,-11.02016509,50.0,0.002261579798068851,3950,2.3793736839294435,0.001
284,9664.668629206717,11385,303,46,14200,-10.686599939999999,50.0,0.002379158823750913,4150,2.4962010335922242,0.001
288,9666.596568621695,11389,301,47,14400,-10.37061302,50.0,0.0029967689886689188,4350,2.5599901247024537,0.001
292,9679.237380433828,11429,298,48,14600,-10.210213600000001,50.0,0.0033409491926431655,4550,2.681491804122925,0.001
296,9683.866335552186,11445,296,49,14800,-10.01417553,50.0,0.002587177634704858,4750,2.71633327960968,0.001
300,9684.613814994693,11445,294,50,15000,-9.619458739999999,50.0,0.003668813961558044,4950,2.826934604644775,0.001
304,9693.952601719648,11473,292,51,15200,-9.50247459,50.0,0.003335753253195435,5150,2.8884647035598756,0.001
308,9702.430402964354,11501,290,52,15400,-9.48505284,50.0,0.0036313850292935966,5350,2.9681800746917726,0.001
312,9707.979622848332,11521,288,54,15600,-9.358650179999998,50.0,0.003983561985660344,5550,2.991534810066223,0.001
316,9711.324216939509,11535,286,55,15800,-9.25042786,50.0,0.004310429068282246,5750,3.0408338499069214,0.001
320,9713.66581844166,11541,285,56,16000,-9.10340711,50.0,0.004340219269506633,5950,3.1347117471694945,0.001
324,9715.08445089683,11546,284,56,16200,-8.88462695,50.0,0.003609493519179523,6150,3.174804172515869,0.001
328,9722.54448985681,11571,283,57,16400,-8.775580380000001,50.0,0.004359437064267695,6350,3.1996325874328613,0.001
332,9726.486432343721,11585,282,58,16600,-8.58819684,50.0,0.004629791858606041,6550,3.243033218383789,0.001
336,9730.14367299527,11595,280,59,16800,-8.437617979999999,50.0,0.00461013282649219,6750,3.283295974731445,0.001
340,9732.04006266594,11602,279,60,17000,-8.2781559,50.0,0.005127564766444266,6950,3.341898307800293,0.001
344,9735.946229983121,11611,277,61,17200,-7.95446121,50.0,0.006557639339007437,7150,3.3467326498031618,0.001
348,9741.016971480101,11630,275,63,17400,-7.7805830700000005,50.0,0.0035687353508546947,7350,3.3685516214370725,0.001
352,9746.105441503227,11643,273,64,17600,-7.59965465,50.0,0.004094676566310227,7550,3.4538222217559813,0.001
356,9747.654453795403,11644,272,65,17800,-7.340770769999999,50.0,0.0055011001834645865,7750,3.4550321674346924,0.001
360,9752.362672306597,11659,271,66,18000,-7.1549454400000005,50.0,0.004459444466046989,7950,3.4943646669387816,0.001
364,9756.580863777548,11672,270,67,18200,-7.03987711,50.0,0.007936074919998646,8150,3.510436382293701,0.001
368,9760.197104219347,11682,268,68,18400,-6.810895009999999,50.0,0.004317489229142666,8350,3.5048692512512205,0.001
372,9765.415725138038,11698,266,69,18600,-6.712811390000001,50.0,0.007440963494591415,8550,3.5320855951309205,0.001
376,9770.495598062873,11714,264,70,18800,-6.695522540000001,50.0,0.004029152388684451,8750,3.5524015331268313,0.001
380,9773.16704267636,11722,262,72,19000,-6.54840727,50.0,0.0053782645147293804,8950,3.572780141830444,0.001
384,9774.694476656616,11727,262,73,19200,-6.492248190000001,50.0,0.004430793249048293,9150,3.560386691093445,0.001
388,9780.880302723497,11747,261,74,19400,-6.5145357200000005,50.0,0.005383754544891417,9350,3.606387162208557,0.001
392,9786.453174203634,11763,259,75,19600,-6.44383931,50.0,0.006090816059149802,9550,3.599701623916626,0.001
396,9789.314616765827,11773,258,76,19800,-6.3938874199999995,50.0,0.007305563315749168,9750,3.6156458616256715,0.001
400,9793.699774269015,11782,256,77,20000,-6.432046420000001,50.0,0.006889660735614598,9950,3.580689296722412,0.001
404,9798.50360668078,11799,256,78,20200,-6.31040408,50.0,0.006986526851542294,10150,3.601160321235657,0.001
408,9804.05758704245,11816,255,79,20400,-6.183457429999999,50.0,0.004431732855737209,10350,3.6541096496582033,0.001
412,9810.274380654097,11837,254,80,20600,-6.135720549999999,50.0,0.0048208780074492094,10550,3.6134037160873413,0.001
416,9811.839161444455,11843,254,81,20800,-6.005272400000001,50.0,0.006718980520963669,10750,3.6267925834655763,0.001
420,9813.975837007165,11848,253,82,21000,-5.932027959999999,50.0,0.007718624421395362,10950,3.617970585823059,0.001
424,9817.465121235698,11856,252,83,21200,-5.9744832,50.0,0.0054964352818205955,11150,3.623824481964111,0.001
428,9820.815776411444,11869,251,84,21400,-5.880373499999998,50.0,0.005028011468239129,11350,3.6300587463378906,0.001
432,9824.501034133136,11882,251,85,21600,-5.8431593799999995,50.0,0.005887968642637134,11550,3.5840328121185303,0.001
436,9830.828490961343,11901,251,86,21800,-5.871032400000002,50.0,0.005345699745230376,11750,3.6022601890563966,0.001
440,9832.501770049334,11905,250,87,22000,-5.813769689999999,50.0,0.005474191373214126,11950,3.6062432527542114,0.001
444,9836.931756965816,11920,250,88,22200,-5.834115939999999,50.0,0.0066900011198595165,12150,3.630749568939209,0.001
448,9839.963728301227,11927,250,89,22400,-5.747224710000001,50.0,0.004930201093666256,12350,3.6043775844573975,0.001
452,9843.831106036901,11939,249,90,22600,-5.72692044,50.0,0.005292124729603529,12550,3.580087938308716,0.001
456,9845.656695991755,11943,249,91,22800,-5.724424020000002,50.0,0.0077376177813857795,12750,3.6050519704818726,0.001
460,9846.834661912173,11943,249,92,23000,-5.66775573,50.0,0.004359249388799071,12950,3.6347451114654543,0.001
464,9850.216063819826,11955,249,93,23200,-5.613145940000002,50.0,0.005362037480808795,13150,3.5664817094802856,0.001
468,9856.849890843034,11974,248,94,23400,-5.67108017,50.0,0.006607550960034132,13350,3.5385145854949953,0.001
472,9861.168179824948,11985,248,95,23600,-5.669738460000001,50.0,0.004369190398138017,13550,3.5716501569747923,0.001
476,9863.87337518856,11990,247,95,23800,-5.63869511,50.0,0.004343747664242983,13750,3.589181537628174,0.001
480,9871.877805072814,12012,247,96,24000,-5.74315695,50.0,0.004226602709386498,13950,3.5944091415405275,0.001
484,9874.843989212066,12020,247,97,24200,-5.741477369999999,50.0,0.004785103853791952,14150,3.569932599067688,0.001
488,9881.562085796148,12039,247,98,24400,-5.678582080000001,50.0,0.005842872518114745,14350,3.550457754135132,0.001
492,9884.874860964715,12051,246,99,24600,-5.62304074,50.0,0.004393795700743794,14550,3.498657298088074,0.001
496,9896.342093028128,12085,246,100,24800,-5.75652293,50.0,0.007007924448698759,14750,3.505084180831909,0.001
500,9898.798684637994,12092,246,101,25000,-5.710222779999999,50.0,0.006112784533761442,14950,3.4803506994247435,0.001
504,9905.963854361326,12108,246,102,25200,-5.72330625,50.0,0.004915611227042973,15150,3.4985803842544554,0.001
508,9910.28354588151,12115,245,103,25400,-5.687077359999998,50.0,0.0047386786621063945,15350,3.5193481922149656,0.001
512,9913.061314139515,12123,245,104,25600,-5.5752872700000005,50.0,0.0034802908916026355,15550,3.4659241390228273,0.001
516,9920.127737108618,12142,245,105,25800,-5.677988489999999,50.0,0.004458688297308982,15750,3.4809817028045655,0.001
520,9929.454419337213,12162,244,106,26000,-5.74273517,50.0,0.004599575556349009,15950,3.419251537322998,0.001
524,9935.665095284581,12175,244,107,26200,-5.751512739999999,50.0,0.005320551819168031,16150,3.433936996459961,0.001
528,9938.00902801007,12183,243,108,26400,-5.662681350000001,50.0,0.00452064536511898,16350,3.4428390741348265,0.001
532,9945.598371446133,12204,242,109,26600,-5.699618849999999,50.0,0.004591267034411431,16550,3.4602009534835814,0.001
536,9955.674536626786,12221,242,110,26800,-5.68322665,50.0,0.0052724778046831485,16750,3.430277099609375,0.001
540,9960.701823063195,12234,242,111,27000,-5.753041479999999,50.0,0.006292006871663034,16950,3.4869166135787966,0.001
544,9967.458143144846,12251,241,112,27200,-5.74800615,50.0,0.004034032565541566,17150,3.459618859291077,0.001
548,9971.939554095268,12261,241,113,27400,-5.786963179999999,50.0,0.00522297608666122,17350,3.3579185438156127,0.001
552,9973.192134946585,12262,241,114,27600,-5.70416144,50.0,0.006168000926263631,17550,3.314911723136902,0.001
556,9981.274228867143,12282,241,115,27800,-5.77334152,50.0,0.004554894389584661,17750,3.410375084877014,0.001
560,9989.692336183041,12301,240,116,28000,-5.901391800000002,50.0,0.005095696421340108,17950,3.368918790817261,0.001
564,9992.553341146559,12310,239,117,28200,-5.869997340000001,50.0,0.0046110259415581825,18150,3.3554210758209226,0.001
568,9998.592130810022,12326,239,118,28400,-5.850958439999999,50.0,0.0038729927758686246,18350,3.361317276954651,0.001
572,10003.280378468335,12339,239,119,28600,-5.85282257,50.0,0.005323754493147135,18550,3.329436640739441,0.001
576,10008.821917172521,12356,238,120,28800,-5.86195335,50.0,0.005076648979447782,18750,3.3153998374938967,0.001
